Zip Code,City,County
92943,Monterey,Monterey County
93426,Bradley,Monterey County
93450,San Ardo,Monterey County
93901,Salinas,Monterey County
93902,Salinas,Monterey County
93905,Salinas,Monterey County
93906,Salinas,Monterey County
93907,Prunedale,Monterey County
93907,Salinas,Monterey County
93908,Corral De Tierra,Monterey County
93908,Salinas,Monterey County
93912,Salinas,Monterey County
93915,Salinas,Monterey County
93920,Big Sur,Monterey County
93921,Carmel,Monterey County
93922,Carmel,Monterey County
93923,Carmel,Monterey County
93924,Carmel Valley,Monterey County
93925,Chualar,Monterey County
93926,Gonzales,Monterey County
93927,Greenfield,Monterey County
93928,Fort Hunter Liggett,Monterey County
93928,Jolon,Monterey County
93930,King City,Monterey County
93932,Lockwood,Monterey County
93933,Marina,Monterey County
93940,Del Rey Oaks,Monterey County
93940,Monterey,Monterey County
93942,Monterey,Monterey County
93943,Monterey,Monterey County
93944,Presidio Of Monterey,Monterey County
93944,Monterey,Monterey County
93950,Pacific Grove,Monterey County
93953,Pebble Beach,Monterey County
93954,San Lucas,Monterey County
93955,Sand City,Monterey County
93955,Seaside,Monterey County
93960,Soledad,Monterey County
93962,Spreckels,Monterey County
93962,Salinas,Monterey County
95004,Aromas,Monterey County
95012,Castroville,Monterey County
95039,Moss Landing,Monterey County
